0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.9975, 4.0, 30.05, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.99625, 0.0, 29.925, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.99, 4.0, 30.1, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.985, 0.0, 29.85, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.9775, 4.0, 30.15, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.96625, 0.0, 29.775, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.96, 4.0, 30.2, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.94, 0.0, 29.7, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.9375, 4.0, 30.25, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.90625, 0.0, 29.625, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.91, 4.0, 30.3, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.865, 0.0, 29.55, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.8775, 4.0, 30.35, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.81625, 0.0, 29.475, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.84, 4.0, 30.4, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.76, 0.0, 29.4, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.7975, 4.0, 30.45, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.69625, 0.0, 29.325, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.75, 4.0, 30.5, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.625, 0.0, 29.25, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.6975, 4.0, 30.55, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.54625, 0.0, 29.175, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.64, 4.0, 30.6, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.46, 0.0, 29.1, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.5775, 4.0, 30.65, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.36625, 0.0, 29.025, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.51, 4.0, 30.7, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.265, 0.0, 28.95, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.4375, 4.0, 30.75, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.15625, 0.0, 28.875, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.36, 4.0, 30.8, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 49.04, 0.0, 28.8, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.2775, 4.0, 30.85, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 48.91625, 0.0, 28.725, -0.75
0, car, -50.0, 4.0, 30.0, 0.0
1, car, -49.19, 4.0, 30.9, 0.5
2, car, 10.0, 0.0, 30.0, 0.0
3, car, 70.0, -4.0, 30.0, 0.0
4, car, 48.785, 0.0, 28.65, -0.75
